Tanggal,Tavg,RH_avg,RR,ss
01-01-2022,24.3,82,25.1,3.4
02-01-2022,24.1,82,6.4,3
03-01-2022,24.4,80,2.9,4.1
04-01-2022,24.1,81,8888,7.3
05-01-2022,24.3,78,0.8,4.1
06-01-2022,23.9,76,0,7.4
07-01-2022,24.7,77,8888,4.1
08-01-2022,23.3,82,0.2,4
09-01-2022,23.2,83,2.7,2.5
10-01-2022,23.8,84,26.6,6.3
11-01-2022,23.6,90,22.6,4.4
12-01-2022,25.5,78,17.9,3.9
13-01-2022,24.8,83,0,3.2
14-01-2022,24.3,81,0.6,2
15-01-2022,24.1,82,2.1,5.2
16-01-2022,24.4,81,4,3.6
17-01-2022,24,79,1.9,0.3
18-01-2022,22.9,89,21.4,3.8
19-01-2022,24.5,81,31.3,1.1
20-01-2022,22.6,94,8.7,4.7
21-01-2022,23.6,86,26.3,1.7
22-01-2022,24,84,0.3,2.5
23-01-2022,24.3,84,2.7,0.1
24-01-2022,25,76,0,6.2
25-01-2022,25,73,0,8.8
26-01-2022,25.7,77,0,9
27-01-2022,25,80,2.8,3.5
28-01-2022,24,86,1.8,4.6
29-01-2022,24.5,81,0,2.8
30-01-2022,24.6,82,1.5,1.8
31-01-2022,23.7,84,5.5,3.4
01-02-2022,22.4,92,12.5,4.3
02-02-2022,23.9,83,47.4,3.1
03-02-2022,24.2,83,1.2,7.4
04-02-2022,24,86,36.4,4
05-02-2022,23.5,90,0,2.5
06-02-2022,24,85,3.6,0.9
07-02-2022,24.2,76,55,4
08-02-2022,26,66,2.3,5
09-02-2022,23.7,85,5.6,5.5
10-02-2022,23.6,86,42,4.5
11-02-2022,23.5,86,1.2,0.5
12-02-2022,24.1,81,32.6,0
13-02-2022,23.8,86,4.8,1
14-02-2022,23.6,89,0.4,3
15-02-2022,24.3,85,3.7,0.5
16-02-2022,25.3,81,41.2,2.7
17-02-2022,23.5,83,0,9.1
18-02-2022,23.8,80,2.2,5.7
19-02-2022,24.8,78,6.2,5.8
20-02-2022,24.8,77,0,7.5
21-02-2022,24.8,84,8888,3.3
22-02-2022,24.3,81,3.2,2.2
23-02-2022,24.5,77,0,9
24-02-2022,24,81,0,9.2
25-02-2022,22.2,90,1.3,5.9
26-02-2022,22.6,89,37,4.6
27-02-2022,24.2,83,12.3,4.5
28-02-2022,23.4,88,0.4,4.6
01-03-2022,24.2,83,1.5,2.9
02-03-2022,25,77,0.4,1
03-03-2022,25.7,74,5.3,6.8
04-03-2022,24.5,84,8.5,7.9
05-03-2022,24.7,80,9.9,3.8
06-03-2022,24.1,82,0,7.5
07-03-2022,24.1,85,0,2.3
08-03-2022,24.1,84,47,5
09-03-2022,24.4,83,16.4,6
10-03-2022,23.9,84,62.8,3
11-03-2022,24.8,82,1.8,0.5
12-03-2022,23.9,86,8888,7.5
13-03-2022,24.6,81,5,0.3
14-03-2022,24.3,85,12.8,4
15-03-2022,24.8,85,89.4,5.5
16-03-2022,24.6,84,3.2,3.8
17-03-2022,26.5,72,1,4.7
18-03-2022,24.3,84,0,10
19-03-2022,23.8,85,46.6,4.2
