Tanggal,Tavg,RH_avg,RR,ss
2022-01-01,24.3,82.0,25.1,3.4
2022-01-02,24.1,82.0,6.4,3.0
2022-01-03,24.4,80.0,2.9,4.1
2022-01-04,24.1,81.0,1.85,7.3
2022-01-05,24.3,78.0,0.8,4.1
2022-01-06,23.9,76.0,0.0,7.4
2022-01-07,24.7,77.0,0.1,4.1
2022-01-08,23.3,82.0,0.2,4.0
2022-01-09,23.2,83.0,2.7,2.5
2022-01-10,23.8,84.0,26.6,6.3
2022-01-11,23.6,90.0,22.6,4.4
2022-01-12,25.5,78.0,17.9,3.9
2022-01-13,24.8,83.0,0.0,3.2
2022-01-14,24.3,81.0,0.6,2.0
2022-01-15,24.1,82.0,2.1,5.2
2022-01-16,24.4,81.0,4.0,3.6
2022-01-17,24.0,79.0,1.9,0.3
2022-01-18,22.9,89.0,21.4,3.8
2022-01-19,24.5,81.0,31.3,1.1
2022-01-20,22.6,94.0,8.7,4.7
2022-01-21,23.6,86.0,26.3,1.7
2022-01-22,24.0,84.0,0.3,2.5
2022-01-23,24.3,84.0,2.7,0.1
2022-01-24,25.0,76.0,0.0,6.2
2022-01-25,25.0,73.0,0.0,8.8
2022-01-26,25.7,77.0,0.0,9.0
2022-01-27,25.0,80.0,2.8,3.5
2022-01-28,24.0,86.0,1.8,4.6
2022-01-29,24.5,81.0,0.0,2.8
2022-01-30,24.6,82.0,1.5,1.8
2022-01-31,23.7,84.0,5.5,3.4
2022-02-01,22.4,92.0,12.5,4.3
2022-02-02,23.9,83.0,47.4,3.1
2022-02-03,24.2,83.0,1.2,7.4
2022-02-04,24.0,86.0,36.4,4.0
2022-02-05,23.5,90.0,0.0,2.5
2022-02-06,24.0,85.0,3.6,0.9
2022-02-07,24.2,76.0,55.0,4.0
2022-02-08,26.0,66.0,2.3,5.0
2022-02-09,23.7,85.0,5.6,5.5
2022-02-10,23.6,86.0,42.0,4.5
2022-02-11,23.5,86.0,1.2,0.5
2022-02-12,24.1,81.0,32.6,0.0
2022-02-13,23.8,86.0,4.8,1.0
2022-02-14,23.6,89.0,0.4,3.0
2022-02-15,24.3,85.0,3.7,0.5
2022-02-16,25.3,81.0,41.2,2.7
2022-02-17,23.5,83.0,0.0,9.1
2022-02-18,23.8,80.0,2.2,5.7
2022-02-19,24.8,78.0,6.2,5.8
2022-02-20,24.8,77.0,0.0,7.5
2022-02-21,24.8,84.0,1.6,3.3
2022-02-22,24.3,81.0,3.2,2.2
2022-02-23,24.5,77.0,0.0,9.0
2022-02-24,24.0,81.0,0.0,9.2
2022-02-25,22.2,90.0,1.3,5.9
2022-02-26,22.6,89.0,37.0,4.6
2022-02-27,24.2,83.0,12.3,4.5
2022-02-28,23.4,88.0,0.4,4.6
2022-03-01,24.2,83.0,1.5,2.9
2022-03-02,25.0,77.0,0.4,1.0
2022-03-03,25.7,74.0,5.3,6.8
2022-03-04,24.5,84.0,8.5,7.9
2022-03-05,24.7,80.0,9.9,3.8
2022-03-06,24.1,82.0,0.0,7.5
2022-03-07,24.1,85.0,0.0,2.3
2022-03-08,24.1,84.0,47.0,5.0
2022-03-09,24.4,83.0,16.4,6.0
2022-03-10,23.9,84.0,62.8,3.0
2022-03-11,24.8,82.0,1.8,0.5
2022-03-12,23.9,86.0,3.4000000000000004,7.5
2022-03-13,24.6,81.0,5.0,0.3
2022-03-14,24.3,85.0,12.8,4.0
2022-03-15,24.8,85.0,89.4,5.5
2022-03-16,24.6,84.0,3.2,3.8
2022-03-17,26.5,72.0,1.0,4.7
2022-03-18,24.3,84.0,0.0,10.0
2022-03-19,23.8,85.0,46.6,4.2
2022-03-20,23.5,91.0,3.5,4.5
2022-03-21,23.3,86.0,1.5,2.3
2022-03-22,23.4,83.0,9.5,3.1
2022-03-23,24.1,80.0,1.0,3.1
2022-03-24,25.1,83.0,5.5,5.5
2022-03-25,24.4,85.0,2.75,9.0
2022-03-26,24.3,82.0,0.0,1.5
2022-03-27,23.2,88.0,3.0,1.6
2022-03-28,23.8,82.0,4.7,0.7
2022-03-29,23.8,84.0,5.0,7.5
2022-03-30,24.8,79.0,3.4,4.7
2022-03-31,23.0,92.0,0.0,6.1
2022-04-01,22.1,85.0,21.0,4.1
2022-04-02,25.1,78.0,18.3,4.7
2022-04-03,24.3,76.0,6.2,4.1
2022-04-04,23.7,84.0,7.5,7.5
2022-04-05,24.3,78.0,95.7,6.3
2022-04-06,23.9,79.0,3.5,8.0
2022-04-07,25.1,77.0,0.5,5.1
2022-04-08,24.3,84.0,0.0,5.6
2022-04-09,24.7,79.0,26.0,6.0
2022-04-10,24.5,77.0,18.2,6.5
2022-04-11,25.0,72.0,0.1,6.2
2022-04-12,24.1,70.0,0.0,7.7
2022-04-13,24.1,73.0,1.0,7.0
2022-04-14,24.8,67.0,0.0,7.2
2022-04-15,25.5,69.0,0.0,9.8
2022-04-16,23.0,87.0,21.25,9.8
2022-04-17,25.1,74.0,42.5,5.5
2022-04-18,24.7,80.0,0.0,9.0
2022-04-19,23.5,88.0,2.8,4.5
2022-04-20,23.7,83.0,45.0,4.0
2022-04-21,23.5,85.0,5.6,0.9
2022-04-22,24.5,77.0,45.5,4.9
2022-04-23,24.9,79.0,0.0,6.9
2022-04-24,24.6,89.0,1.6,7.1
2022-04-25,25.4,81.0,5.6,5.8
2022-04-26,24.7,79.0,0.0,9.2
2022-04-27,24.3,79.0,0.0,6.0
2022-04-28,25.1,80.0,1.5,5.3
2022-04-29,24.2,80.0,2.5,6.0
2022-04-30,24.6,77.0,4.0,5.5
2022-05-01,25.5,74.0,1.0,4.8
2022-05-02,25.0,70.0,0.0,8.8
2022-05-03,24.5,78.0,0.0,10.7
2022-05-04,25.0,74.0,9.6,7.8
2022-05-05,25.2,74.0,0.0,7.7
2022-05-06,25.2,79.0,0.0,5.4
2022-05-07,24.1,85.0,0.5,5.7
2022-05-08,24.3,82.0,0.25,5.6
2022-05-09,25.4,80.0,0.0,5.1
2022-05-10,25.4,82.0,0.0,7.5
2022-05-11,25.6,76.0,0.0,5.4
2022-05-12,25.1,82.0,0.0,8.3
2022-05-13,25.4,83.0,4.8,4.6
2022-05-14,25.4,81.0,0.1,6.4
2022-05-15,25.7,76.0,10.3,6.2
2022-05-16,25.0,74.0,0.0,9.0
2022-05-17,24.7,76.0,0.0,9.9
2022-05-18,24.6,78.0,0.2,7.1
2022-05-19,24.6,80.0,0.0,6.7
2022-05-20,23.6,92.0,12.9,6.6
2022-05-21,25.1,77.0,18.4,2.2
2022-05-22,24.5,72.0,0.0,8.3
2022-05-23,24.5,68.0,0.0,7.9
2022-05-24,25.7,74.0,0.0,9.8
2022-05-25,25.5,78.0,0.0,10.0
2022-05-26,23.1,84.0,0.6,7.9
2022-05-27,23.5,81.0,1.2,0.0
2022-05-28,25.0,73.0,15.6,0.5
2022-05-29,24.4,80.0,0.0,7.3
2022-05-30,25.2,75.0,0.0,5.8
2022-05-31,25.5,77.0,0.0,9.2
2022-06-01,23.6,90.0,4.8,9.0
2022-06-02,23.3,78.0,5.15,0.8
2022-06-03,23.7,79.0,5.5,6.5
2022-06-04,24.4,81.0,2.75,6.6
2022-06-05,22.8,87.0,0.0,8.8
2022-06-06,23.1,87.0,73.1,5.3
2022-06-07,24.0,80.0,0.6,2.6
2022-06-08,23.9,78.0,0.5,9.2
2022-06-09,24.1,74.0,0.0,8.6
2022-06-10,23.9,80.0,0.0,4.5
2022-06-11,24.4,82.0,92.5,6.8
2022-06-12,24.0,82.0,1.7,7.0
2022-06-13,23.7,82.0,4.4,6.7
2022-06-14,24.3,79.0,0.8,3.7
2022-06-15,24.5,77.0,0.0,7.4
2022-06-16,23.3,90.0,2.2,9.7
2022-06-17,23.1,85.0,6.9,2.8
2022-06-18,23.7,80.0,58.4,3.6
2022-06-19,23.4,84.0,39.2,7.7
2022-06-20,23.2,84.0,20.0,8.3
2022-06-21,23.5,78.0,0.0,6.3
2022-06-22,24.0,72.0,0.0,7.0
2022-06-23,23.5,79.0,0.0,8.0
2022-06-24,23.4,80.0,9.5,6.6
2022-06-25,23.4,79.0,3.9,7.2
2022-06-26,22.4,92.0,0.0,6.3
2022-06-27,22.8,85.0,23.4,2.8
2022-06-28,23.2,76.0,0.0,1.8
2022-06-29,23.0,63.0,0.0,6.7
2022-06-30,24.4,71.0,0.0,9.0
2022-07-01,23.0,80.0,0.0,9.9
2022-07-02,23.8,78.0,0.0,6.8
2022-07-03,25.0,77.0,17.4,3.8
2022-07-04,24.3,77.0,0.0,8.2
2022-07-05,25.2,76.0,0.0,9.6
2022-07-06,24.0,79.0,0.0,6.1
2022-07-07,23.2,72.0,0.0,5.2
2022-07-08,22.3,70.0,0.0,9.7
2022-07-09,22.5,71.0,0.0,9.0
2022-07-10,22.7,75.0,0.0,7.3
2022-07-11,23.8,77.0,0.0,8.2
2022-07-12,23.5,82.0,0.0,2.6
2022-07-13,24.2,77.0,1.9,6.2
2022-07-14,23.9,80.0,1.0,8.3
2022-07-15,24.0,82.0,0.0,7.6
2022-07-16,23.3,84.0,0.0,4.7
2022-07-17,23.9,77.0,0.0,5.2
2022-07-18,23.8,78.0,0.0,5.4
2022-07-19,24.2,74.0,0.0,6.3
2022-07-20,22.8,70.0,0.0,7.0
2022-07-21,23.3,78.0,0.0,10.0
2022-07-22,23.2,82.0,0.0,6.9
2022-07-23,23.0,82.0,0.0,5.1
2022-07-24,22.6,69.0,0.0,5.6
2022-07-25,20.1,70.0,0.0,7.8
2022-07-26,21.9,66.0,0.0,8.7
2022-07-27,24.0,77.0,0.0,10.1
2022-07-28,23.6,75.0,0.0,8.9
2022-07-29,22.9,73.0,0.0,9.7
2022-07-30,22.5,69.0,0.0,7.4
2022-07-31,22.8,67.0,0.0,9.3
2022-08-01,23.0,65.0,0.0,8.0
2022-08-02,24.0,84.0,0.0,8.6
2022-08-03,24.3,76.0,0.0,0.3
2022-08-04,23.4,68.0,0.8,8.7
2022-08-05,23.3,60.0,0.0,8.8
2022-08-06,23.9,62.0,0.0,9.6
2022-08-07,22.5,90.0,1.5,9.8
2022-08-08,23.2,82.0,5.1,1.5
2022-08-09,22.8,78.0,0.0,3.8
2022-08-10,23.9,81.0,0.0,7.5
2022-08-11,24.8,80.0,0.0,5.5
2022-08-12,24.9,76.0,0.0,6.0
2022-08-13,24.2,78.0,0.0,7.6
2022-08-14,24.6,81.0,15.1,6.5
2022-08-15,24.3,77.0,0.4,7.7
2022-08-16,24.0,79.0,9.600000000000001,7.7
2022-08-17,23.6,76.0,18.8,7.2
2022-08-18,23.4,80.0,0.0,8.6
2022-08-19,22.7,81.0,0.0,8.8
