Tanggal,RH_avg,Tavg,RR,ss
01-04-2025,87,24.2,0,7.4
02-04-2025,93,23.2,0.5,4.4
03-04-2025,87,24,13.2,2.3
04-04-2025,76,25,0.5,2.1
05-04-2025,72,24.2,0,8
06-04-2025,77,24.8,0,7.4
07-04-2025,75,24.8,0,7.4
08-04-2025,84,24.9,10.8,6.7
09-04-2025,82,25.1,15,8
10-04-2025,85,24.7,0.2,7.8
11-04-2025,86,24.5,7,7.1
12-04-2025,76,25.1,11,4.7
13-04-2025,84,25.1,0,8
14-04-2025,81,25.2,0.6,5.6
15-04-2025,79,25.1,0,4.7
16-04-2025,82,25.5,0.5,5.7
17-04-2025,79,24.3,2.4,6.7
18-04-2025,82,24.6,8888,3.1
19-04-2025,86,25,0,3.3
20-04-2025,88,24.1,0,4.8
21-04-2025,81,24.7,0,3.7
22-04-2025,78,24.8,0,6.4
23-04-2025,76,25.3,0,8
24-04-2025,72,24.7,0,8
25-04-2025,78,25.4,0,8
26-04-2025,76,24.6,0,8
27-04-2025,70,24.8,14.8,8
28-04-2025,77,24.6,0,8
29-04-2025,70,24,0,8
30-04-2025,74,24.4,0,8
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,TAVG,RH_AVG
,,,24.2,87
,,,23.2,93
,,,24,87
,,,25,76
,,,24.2,72
,,,24.8,77
,,,24.8,75
,,,24.9,84
,,,25.1,82
,,,24.7,85
,,,24.5,86
,,,25.1,76
,,,25.1,84
,,,25.2,81
,,,25.1,79
,,,25.5,82
,,,24.3,79
,,,24.6,82
,,,25,86
,,,24.1,88
,,,24.7,81
,,,24.8,78
,,,25.3,76
,,,24.7,72
,,,25.4,78
,,,24.6,76
,,,24.8,70
,,,24.6,77
,,,24,70
,,,24.4,74
