Tanggal,RH_avg,Tavg,RR,ss
01-02-2025,72,25.9,0,0.5
02-02-2025,73,26.1,0,2.6
03-02-2025,69,26.9,0,3.7
04-02-2025,69,27,0,5.3
05-02-2025,65,27,8888,6.5
06-02-2025,69,26.8,0,8
07-02-2025,79,25.6,1.1,6.7
08-02-2025,85,24.6,2.8,7.5
09-02-2025,84,25,0.9,4.1
10-02-2025,82,24.5,5.9,5.9
11-02-2025,79,24.8,2.6,2
12-02-2025,84,23.9,0,4.9
13-02-2025,80,25.1,0,0.9
14-02-2025,82,24.4,0,6.8
15-02-2025,82,24.9,2.9,6.8
16-02-2025,83,24.6,3.2,7.4
17-02-2025,87,24.4,0,4.7
18-02-2025,83,24.4,12,1.9
19-02-2025,88,24.1,30.6,7.4
20-02-2025,87,24.4,30.4,4.2
21-02-2025,90,23.5,0.2,2
22-02-2025,84,23.9,28.5,3.8
23-02-2025,90,23.2,4,3.7
24-02-2025,92,23.1,1.6,0.6
25-02-2025,89,23.5,62.9,2.3
26-02-2025,95,22.5,37.5,1.1
27-02-2025,91,23.5,18.3,1.9
28-02-2025,87,23.9,43.8,3.2
