Tanggal,RH_avg,Tavg,RR,ss
01-01-2025,91,23.7,31.2,1.3
02-01-2025,88,23.1,29.3,0
03-01-2025,82,24.3,2.1,1.2
04-01-2025,82,24,0,3
05-01-2025,86,24.7,1.4,6.1
06-01-2025,89,23.4,4,6.6
07-01-2025,90,23.6,9.7,2.7
08-01-2025,83,24.5,17.6,5.3
09-01-2025,80,25.3,0,1.8
10-01-2025,81,25.4,5.2,4.1
11-01-2025,85,24.1,0,6.3
12-01-2025,89,23.9,0,1.6
13-01-2025,88,24.2,15.8,2.4
14-01-2025,87,23.6,1,2.3
15-01-2025,88,24.5,21.1,3.7
16-01-2025,80,25.3,0.4,3.2
17-01-2025,83,25.4,0,4.5
18-01-2025,86,24.4,0.6,4.3
19-01-2025,85,24.8,0.9,4.4
20-01-2025,92,23.8,29.8,5.1
21-01-2025,86,24,8.4,0
22-01-2025,90,23.7,31.5,2.4
23-01-2025,89,23.7,62,1.3
24-01-2025,87,23.2,3.9,0.2
25-01-2025,85,24.3,2.2,3.4
26-01-2025,88,24.8,1.4,5.4
27-01-2025,88,23.6,2.7,3.3
28-01-2025,88,23.5,42.3,0
29-01-2025,79,25,33.1,3.9
30-01-2025,76,24,18.5,4.6
31-01-2025,73,25.3,8888,0
