Tanggal,RH_avg,Tavg,RR,ss
2025-01-01,91,23.7,31.2,1.3
2025-01-02,88,23.1,29.3,0.0
2025-01-03,82,24.3,2.1,1.2
2025-01-04,82,24.0,0.0,3.0
2025-01-05,86,24.7,1.4,6.1
2025-01-06,89,23.4,4.0,6.6
2025-01-07,90,23.6,9.7,2.7
2025-01-08,83,24.5,17.6,5.3
2025-01-09,80,25.3,0.0,1.8
2025-01-10,81,25.4,5.2,4.1
2025-01-11,85,24.1,0.0,6.3
2025-01-12,89,23.9,0.0,1.6
2025-01-13,88,24.2,15.8,2.4
2025-01-14,87,23.6,1.0,2.3
2025-01-15,88,24.5,21.1,3.7
2025-01-16,80,25.3,0.4,3.2
2025-01-17,83,25.4,0.0,4.5
2025-01-18,86,24.4,0.6,4.3
2025-01-19,85,24.8,0.9,4.4
2025-01-20,92,23.8,29.8,5.1
2025-01-21,86,24.0,8.4,0.0
2025-01-22,90,23.7,31.5,2.4
2025-01-23,89,23.7,62.0,1.3
2025-01-24,87,23.2,3.9,0.2
2025-01-25,85,24.3,2.2,3.4
2025-01-26,88,24.8,1.4,5.4
2025-01-27,88,23.6,2.7,3.3
2025-01-28,88,23.5,42.3,0.0
2025-01-29,79,25.0,33.1,3.9
2025-01-30,76,24.0,18.5,4.6
2025-01-31,73,25.3,18.5,0.0
