Tanggal,RH_avg,Tavg,RR,ss,,
01-03-2025,83,24.4,71.2,3.5,,
02-03-2025,80,25.1,0,2.1,,
03-03-2025,79,25.2,0,6.8,,
04-03-2025,80,25.3,8888,8,,
05-03-2025,76,25.8,0,7.4,,
06-03-2025,79,25.9,0,6.2,,
07-03-2025,84,24.6,6,7.9,,
08-03-2025,84,24.4,16,4.1,,
09-03-2025,85,24.8,2.4,6.5,,
10-03-2025,85,24,0,5.6,,
11-03-2025,78,24.8,4,3.1,,
12-03-2025,78,25.1,0.3,4.2,,
13-03-2025,79,24.8,6.3,6.5,,
14-03-2025,77,25.2,7.9,2.8,,
15-03-2025,86,24.3,1.9,3.8,,
16-03-2025,92,23.1,40.6,4.3,,
17-03-2025,88,23.9,16.5,0.2,,
18-03-2025,76,25.6,7,1.3,,
19-03-2025,91,22.6,6.7,5,,
20-03-2025,81,24.5,7.6,1.3,,
21-03-2025,75,25.7,8888,5.5,,
22-03-2025,81,24.7,0,5.4,,
23-03-2025,78,25.1,11.8,1.5,,
24-03-2025,85,24,0.2,1.2,,
25-03-2025,79,25.7,4.4,3.3,,
26-03-2025,81,26,0,6.8,,
27-03-2025,90,24.7,4.3,6.9,,
28-03-2025,91,23.9,0,1.9,,
29-03-2025,89,24.1,10.8,4.5,,
30-03-2025,89,23.9,1.7,0.2,,
31-03-2025,80,24.1,0.2,3.1,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,TANGGAL,,,RR,SS
,,01-03-2025,,,71.2,3.5
,,02-03-2025,,,0,2.1
,,03-03-2025,,,0,6.8
,,04-03-2025,,,8888,8
,,05-03-2025,,,0,7.4
,,06-03-2025,,,0,6.2
,,07-03-2025,,,6,7.9
,,08-03-2025,,,16,4.1
,,09-03-2025,,,2.4,6.5
,,10-03-2025,,,0,5.6
,,11-03-2025,,,4,3.1
,,12-03-2025,,,0.3,4.2
,,13-03-2025,,,6.3,6.5
,,14-03-2025,,,7.9,2.8
,,15-03-2025,,,1.9,3.8
,,16-03-2025,,,40.6,4.3
,,17-03-2025,,,16.5,0.2
,,18-03-2025,,,7,1.3
,,19-03-2025,,,6.7,5
,,20-03-2025,,,7.6,1.3
,,21-03-2025,,,8888,5.5
,,22-03-2025,,,0,5.4
,,23-03-2025,,,11.8,1.5
,,24-03-2025,,,0.2,1.2
,,25-03-2025,,,4.4,3.3
,,26-03-2025,,,0,6.8
,,27-03-2025,,,4.3,6.9
,,28-03-2025,,,0,1.9
,,29-03-2025,,,10.8,4.5
,,30-03-2025,,,1.7,0.2
,,31-03-2025,,,0.2,3.1
