"TANGGAL","TAVG","RH_AVG","RR","SS"
"01-02-2025","25.9","72","0","0.5"
"02-02-2025","26.1","73","0","2.6"
"03-02-2025","26.9","69","0","3.7"
"04-02-2025","27","69","0","5.3"
"05-02-2025","27","65","8888","6.5"
"06-02-2025","26.8","69","0","8"
"07-02-2025","25.6","79","1.1","6.7"
"08-02-2025","24.6","85","2.8","7.5"
"09-02-2025","25","84","0.9","4.1"
"10-02-2025","24.5","82","5.9","5.9"
"11-02-2025","24.8","79","2.6","2"
"12-02-2025","23.9","84","0","4.9"
"13-02-2025","25.1","80","0","0.9"
"14-02-2025","24.4","82","0","6.8"
"15-02-2025","24.9","82","2.9","6.8"
"16-02-2025","24.6","83","3.2","7.4"
"17-02-2025","24.4","87","0","4.7"
"18-02-2025","24.4","83","12","1.9"
"19-02-2025","24.1","88","30.6","7.4"
"20-02-2025","24.4","87","30.4","4.2"
"21-02-2025","23.5","90","0.2","2"
"22-02-2025","23.9","84","28.5","3.8"
"","","","",""
"","","","",""
"","","","",""
"26-02-2025","22.5","95","37.5","1.1"
"27-02-2025","23.5","91","18.3","1.9"
"28-02-2025","23.9","87","43.8","3.2"
"","","","",""
