Tanggal,RH_avg,Tavg,RR,ss
01-05-2025,74,25.9,0,8
02-05-2025,74,25.2,0,7.1
03-05-2025,73,25.3,0,8
04-05-2025,75,25.5,0,8
05-05-2025,75,26.1,0,8
06-05-2025,81,25.8,0,8
07-05-2025,85,25.1,0.8,6.7
08-05-2025,83,25.1,31.7,6.1
09-05-2025,86,24,8888,6
10-05-2025,80,24.5,9.2,4.8
11-05-2025,87,24.1,3.6,6.8
12-05-2025,83,24.7,37.5,3.2
13-05-2025,87,24.6,5,4.9
14-05-2025,86,24.1,19.3,4
15-05-2025,84,24.1,2.2,4.5
16-05-2025,88,23.9,2.6,6.8
17-05-2025,85,24.2,55.4,1.1
18-05-2025,85,24.6,8888,1.3
19-05-2025,91,23.5,3.4,4.6
20-05-2025,83,24.5,23.4,0.9
21-05-2025,82,24.2,5.5,6
22-05-2025,83,24.1,0,3.3
23-05-2025,86,23.5,0,4
24-05-2025,83,24.1,0,3.5
25-05-2025,83,24.8,8888,4.7
26-05-2025,84,23.7,0,5.2
27-05-2025,85,24.6,2.2,3.2
28-05-2025,83,24.9,8888,1.4
29-05-2025,75,25.3,0,1.7
30-05-2025,77,25.6,0,6.1
31-05-2025,81,24.6,0,8
