Tanggal,Tavg,RH_avg,RR,ss
01-03-2025,24.4,83,71.2,3.5
02-03-2025,25.1,80,0,2.1
03-03-2025,25.2,79,0,6.8
04-03-2025,25.3,80,8888,8
05-03-2025,25.8,76,0,7.4
06-03-2025,25.9,79,0,6.2
07-03-2025,24.6,84,6,7.9
08-03-2025,24.4,84,16,4.1
09-03-2025,24.8,85,2.4,6.5
10-03-2025,24,85,0,5.6
11-03-2025,24.8,78,4,3.1
12-03-2025,25.1,78,0.3,4.2
13-03-2025,24.8,79,6.3,6.5
14-03-2025,25.2,77,7.9,2.8
15-03-2025,24.3,86,1.9,3.8
16-03-2025,23.1,92,40.6,4.3
17-03-2025,23.9,88,16.5,0.2
18-03-2025,25.6,76,7,1.3
19-03-2025,22.6,91,6.7,5
20-03-2025,24.5,81,7.6,1.3
21-03-2025,25.7,75,8888,5.5
22-03-2025,24.7,81,0,5.4
23-03-2025,25.1,78,11.8,1.5
24-03-2025,24,85,0.2,1.2
25-03-2025,25.7,79,4.4,3.3
28-03-2025,23.9,91,0,1.9
29-03-2025,24.1,89,10.8,4.5
30-03-2025,23.9,89,1.7,0.2
31-03-2025,24.1,80,0.2,3.1
